model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count,metric
svm,B,class_weights,validation,alert,0.8374998896589076,0.021329572822215648,0.8272515244232217,0.8260196179659267,0.8694768918232605,4,f1
svm,B,class_weights,validation,distraction,0.2574252370828397,0.0790481461413466,0.25502161200101703,0.17391304347826086,0.34574468085106386,4,f1
svm,B,class_weights,validation,fatigue,0.07447916666666667,0.12896910294287112,0.015625,0.0,0.26666666666666666,4,f1
svm,C,weighted_sampling,test,alert,0.8313666870398212,0.051462996289400355,0.8398527849288695,0.7672064777327935,0.8785547005687521,4,f1
svm,C,weighted_sampling,test,distraction,0.3951083181414997,0.1816490780913415,0.42095864661654137,0.18384401114206128,0.5546719681908548,4,f1
svm,C,weighted_sampling,test,fatigue,0.005813953488372093,0.011627906976744186,0.0,0.0,0.023255813953488372,4,f1
svm,C,weighted_sampling,validation,alert,0.8064684283297379,0.01803842585097034,0.807521815008726,0.7833894500561167,0.8274406332453826,4,f1
svm,C,weighted_sampling,validation,distraction,0.22623718251319058,0.07063992035330487,0.22815246015246016,0.14168937329700274,0.3069544364508393,4,f1
svm,C,weighted_sampling,validation,fatigue,0.04141304347826087,0.03544426535040307,0.04115942028985507,0.0,0.08333333333333333,4,f1
svm,D,augmentation,test,alert,0.8842058211545707,0.029720984057385175,0.8870681759470186,0.8510170423309511,0.9116698903932946,4,f1
svm,D,augmentation,test,distraction,0.4650500396625257,0.1758872062436697,0.47087813620071683,0.27405247813411077,0.6443914081145584,4,f1
svm,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
svm,D,augmentation,validation,alert,0.8758364112250842,0.020852397115990226,0.8807942029457769,0.8470464135021097,0.8947108255066732,4,f1
svm,D,augmentation,validation,distraction,0.29817468190014806,0.05214538652678502,0.29263762242485647,0.24096385542168675,0.36645962732919257,4,f1
svm,D,augmentation,validation,fatigue,0.08687074829931972,0.12136855164090027,0.04040816326530612,0.0,0.26666666666666666,4,f1
tcn,A,none,test,alert,0.9077431170129198,0.03787203083281688,0.9145462414501264,0.861005949161709,0.9408740359897172,4,f1
tcn,A,none,test,distraction,0.5071070339049308,0.2105694495529792,0.5284514925373134,0.24633431085043989,0.7251908396946565,4,f1
tcn,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
tcn,A,none,validation,alert,0.9049289107789419,0.026423088397228657,0.9081217726008436,0.8700155359917141,0.933456561922366,4,f1
tcn,A,none,validation,distraction,0.3324593808628292,0.07162066111373203,0.35807395583931895,0.23030303030303031,0.38338658146964855,4,f1
tcn,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
tcn,B,class_weights,test,alert,0.8606677537077589,0.0799985162013698,0.8733002965530818,0.7626373626373626,0.9334330590875094,4,f1
tcn,B,class_weights,test,distraction,0.5195437901066704,0.2013652290526842,0.5416319312871037,0.2722222222222222,0.7226890756302521,4,f1
tcn,B,class_weights,test,fatigue,0.022033588901058783,0.027813783586540342,0.015151515151515152,0.0,0.05783132530120482,4,f1
tcn,B,class_weights,validation,alert,0.8315634678425776,0.016539828774370092,0.8337645784926346,0.8096280087527352,0.8490967056323061,4,f1
tcn,B,class_weights,validation,distraction,0.32440110426820623,0.07412900729882924,0.3420367098841214,0.22,0.3935309973045822,4,f1
tcn,B,class_weights,validation,fatigue,0.05278578939875746,0.03969864945080373,0.05840176747676018,0.0,0.09433962264150944,4,f1
tcn,C,weighted_sampling,test,alert,0.8500183133878194,0.08575101814123551,0.8688643544268959,0.7387387387387387,0.9236058059587471,4,f1
tcn,C,weighted_sampling,test,distraction,0.4949075744817354,0.18208852409315865,0.5405188660331208,0.25153374233128833,0.6470588235294118,4,f1
tcn,C,weighted_sampling,test,fatigue,0.02855233002291826,0.034982333987082885,0.0213903743315508,0.0,0.07142857142857142,4,f1
tcn,C,weighted_sampling,validation,alert,0.8120136789024794,0.027764450274309377,0.8149343264738687,0.7776510832383124,0.8405349794238683,4,f1
tcn,C,weighted_sampling,validation,distraction,0.33319313087696745,0.0765760668227657,0.34809234038442965,0.22950819672131148,0.40707964601769914,4,f1
tcn,C,weighted_sampling,validation,fatigue,0.06518655359560505,0.024460307982563555,0.0676921398570883,0.03686635944700461,0.08849557522123894,4,f1
tcn,D,augmentation,test,alert,0.8999003955614964,0.042333272047524594,0.9000546824582152,0.861969111969112,0.9375231053604436,4,f1
tcn,D,augmentation,test,distraction,0.5074592077487461,0.20182522041100728,0.5374834402680728,0.2551928783382789,0.6996770721205597,4,f1
tcn,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
tcn,D,augmentation,validation,alert,0.899034054787179,0.027610891780795475,0.9054774411700515,0.8610240334378265,0.9241573033707865,4,f1
tcn,D,augmentation,validation,distraction,0.33475276202023063,0.064571509550212,0.34634013605442177,0.24870466321243523,0.39762611275964393,4,f1
tcn,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
transformer,A,none,test,alert,0.9115897180709033,0.033713796614217695,0.9154523293607801,0.8726491133799033,0.9428051001821494,4,f1
transformer,A,none,test,distraction,0.48010414872958734,0.24090622515701768,0.515624238287915,0.18556701030927836,0.703601108033241,4,f1
transformer,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
transformer,A,none,validation,alert,0.9103350262478114,0.01760458560134356,0.9185254783287777,0.8839608045384219,0.920328343795268,4,f1
transformer,A,none,validation,distraction,0.3138714433141678,0.02686501170227485,0.3089709568037742,0.2866666666666667,0.3508771929824561,4,f1
transformer,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
transformer,B,class_weights,test,alert,0.8540775396914999,0.092289303079776,0.8635905403976774,0.7484383872799546,0.9406906906906907,4,f1
transformer,B,class_weights,test,distraction,0.4938058607666925,0.15778185977031822,0.5346158537647899,0.2809917355371901,0.625,4,f1
transformer,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
transformer,B,class_weights,validation,alert,0.8235628465830598,0.02086277629549162,0.8278550443384276,0.7946943483275664,0.843846949327818,4,f1
transformer,B,class_weights,validation,distraction,0.3248784306756321,0.07335483826459023,0.32471744471744474,0.23728813559322035,0.4127906976744186,4,f1
transformer,B,class_weights,validation,fatigue,0.014925373134328358,0.029850746268656716,0.0,0.0,0.05970149253731343,4,f1
transformer,C,weighted_sampling,test,alert,0.8524912597473366,0.09179652393701794,0.860374876685301,0.7504244482173175,0.938790837401427,4,f1
transformer,C,weighted_sampling,test,distraction,0.498512020198507,0.15778911750496005,0.5340735804425873,0.2926829268292683,0.6332179930795848,4,f1
transformer,C,weighted_sampling,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
transformer,C,weighted_sampling,validation,alert,0.8212835761803143,0.02026745824404221,0.828540266018066,0.7914252607184241,0.8366285119667014,4,f1
transformer,C,weighted_sampling,validation,distraction,0.3383939616162154,0.08746370305970068,0.3362745098039216,0.23976608187134502,0.44126074498567336,4,f1
transformer,C,weighted_sampling,validation,fatigue,0.01715686274509804,0.03431372549019608,0.0,0.0,0.06862745098039216,4,f1
transformer,D,augmentation,test,alert,0.9020363224811492,0.04592893207133904,0.9073090500242889,0.8502700049091801,0.9432571849668386,4,f1
transformer,D,augmentation,test,distraction,0.48775242234329563,0.2299998730421825,0.5532035398230088,0.17793594306049823,0.6666666666666666,4,f1
transformer,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
transformer,D,augmentation,validation,alert,0.892574976782603,0.022496487134806103,0.9028803107615491,0.8589951377633711,0.9055441478439425,4,f1
transformer,D,augmentation,validation,distraction,0.34915488203087147,0.07398296894320104,0.33383505154639176,0.2792452830188679,0.44970414201183434,4,f1
transformer,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
